,0 dpa_names,0 dpa_pvals_adj,0 dpa_logfoldchanges,1 dpa_names,1 dpa_pvals_adj,1 dpa_logfoldchanges,2 dpa_names,2 dpa_pvals_adj,2 dpa_logfoldchanges,4 dpa_names,4 dpa_pvals_adj,4 dpa_logfoldchanges,6 dpa_names,6 dpa_pvals_adj,6 dpa_logfoldchanges
0,ifnphi4,0.0,,defbl1,0.0,,mpx,0.0,,adam23a,0.0,,si:ch211-282j17.8,0.0,
1,cxcl11.1,0.0,,si:ch73-309g22.1,0.0,,mxf,0.0,,AL954146.1,0.0,,si:dkey-83f18.10,0.0,
2,BX323854.1,0.0,,apoda.1,0.0,,npsn,0.0,,BX901920.1,0.0,,mxf,0.0,
3,si:dkey-1c7.2,0.0,,mxd,0.0,,CABZ01089980.1,0.0,,penka,0.0,,CAMK2N1,0.0,
4,esm1,0.0,,LO017682.1,0.0,,ostn,0.0,,magixa,0.0,,npsn,0.0,
5,xcr1a.1,0.0,,prss60.2,0.0,,si:ch73-343g19.4,0.0,,scml4,0.0,,mpx,0.0,
6,zgc:171704,0.0,,MFAP4-2,0.0,,RGS13,0.0,,sh3bp1,0.0,,ppp1r18,0.0,
7,PRMT8,0.0,,foxa3,0.0,,CABZ01087025.3,0.0,,MINAR1,0.0,,plaua,0.0,
8,BX901973.1,0.0,,hmx3a,0.0,,si:dkey-83f18.10,0.0,,tgm2l,0.0,,tespa1,0.0,
9,si:ch211-5k11.8,0.0,,cd8b,0.0,,tespa1,0.0,,xpnpep2,0.0,,ostn,0.0,
10,CR354549.9,0.0,,CR457444.5,0.0,,ogfrl1,0.0,,sox8b,0.0,,si:ch211-213d14.1,0.0,
11,egr4,0.0,,mstnb,0.0,,si:ch73-359m17.9,0.0,,prkacba,0.0,,ogfrl1,0.0,
12,zmp:0000001289,0.0,,ppp1r3ca,0.0,,ptpn5,0.0,,kcnq4,0.0,,BX293991.2,0.0,
13,stxbp1b,0.0,,BX510923.1,0.0,,CAMK2N1,0.0,,illr4,0.0,,ptpn5,0.0,
14,si:dkey-21e2.10,0.0,,capga,0.0,,kcnq3,0.0,,foxp3a,0.0,,zgc:152891,0.0,
15,adcyap1b,0.0,,oprd1b,0.0,,plaua,0.0,,stm,0.0,,si:dkey-197j19.6,0.0,
16,kcnc4,0.0,,hspa8b,0.0,,BX293991.2,0.0,,CU915775.1,0.0,,BX649485.1,0.0,
17,CT583626.1,0.0,,pde5ab,0.0,,FO905027.1,0.0,,cabz01093075.1,0.0,,klhl6,0.0,
18,vaspa,0.0,,si:ch211-256e16.4,0.0,,BX649485.1,0.0,,aurka,0.0,,AL935186.1,0.0,
19,cacng6b,0.0,,si:ch211-256e16.8,0.0,,pax7b,0.0,,jak3,0.0,,arid5a,0.0,
20,si:ch73-264p11.1,0.0,,zgc:112408,0.0,,mrc1b,0.0,,rspo1,0.0,,CABZ01089980.1,0.0,
21,fthl30,0.0,,si:ch211-121j5.4,0.0,,AL935186.1,0.0,,zgc:113090,0.0,,si:ch73-343g19.4,0.0,
22,pitpnab,0.0,,pappa2,0.0,,ppp1r18,0.0,,def6a,0.0,,ptprjb.1,0.0,
23,opn1sw2,0.0,,si:ch73-389b16.1,0.0,,cxcr1,0.0,,slc16a1a,0.0,,cxcr1,0.0,
24,lpxn,0.0,,carmil2,0.0,,c7b,0.0,,themis2,0.0,,BX120005.2,0.0,
25,pkhd1l1,0.0,,si:ch1073-441p17.1,0.0,,si:dkey-197j19.6,0.0,,si:cabz01007794.1,0.0,,BX276098.1,0.0,
